Date;AUD;CAD;CHF;GBP;JPY;USD
13.11.2015;1.5077;1.4322;1.0786;0.70705;132.04;1.0764
16.11.2015;1.511;1.4293;1.0791;0.7058;132.01;1.0723
17.11.2015;1.496;1.42;1.0806;0.7017;131.49;1.067
18.11.2015;1.5028;1.4223;1.0838;0.7009;131.65;1.0666
19.11.2015;1.4925;1.4203;1.0893;0.6998;131.6;1.0687
20.11.2015;1.4825;1.4229;1.0844;0.701;131.28;1.0688
23.11.2015;1.4793;1.4222;1.0848;0.7025;130.92;1.0631
24.11.2015;1.4763;1.4229;1.0832;0.7062;130.52;1.0651
25.11.2015;1.4601;1.4108;1.082;0.70175;129.94;1.0586
26.11.2015;1.4685;1.4119;1.0868;0.7028;130.06;1.0612
27.11.2015;1.4689;1.4121;1.09;0.7029;129.75;1.058
30.11.2015;1.4671;1.4143;1.0903;0.7048;130.22;1.0579
01.12.2015;1.454;1.4118;1.0908;0.7036;130.57;1.06
02.12.2015;1.4489;1.4204;1.088;0.7059;130.7;1.0612
03.12.2015;1.455;1.4213;1.084;0.7122;131.58;1.0671
04.12.2015;1.4899;1.454;1.0882;0.7201;134.08;1.0902
07.12.2015;1.4849;1.455;1.083;0.7177;133.4;1.0809
08.12.2015;1.5099;1.4793;1.082;0.7271;133.64;1.0875
09.12.2015;1.5182;1.4847;1.083;0.7251;134.04;1.0941
10.12.2015;1.5;1.4817;1.0806;0.7235;132.97;1.0943
11.12.2015;1.518;1.4962;1.0819;0.7224;133.02;1.095
14.12.2015;1.5231;1.5106;1.0771;0.726;132.54;1.0983
15.12.2015;1.52;1.5069;1.0831;0.7252;132.97;1.099
16.12.2015;1.5186;1.505;1.0824;0.7283;133.18;1.0933
17.12.2015;1.5097;1.4995;1.0807;0.7266;132.82;1.0841
18.12.2015;1.5206;1.5123;1.0768;0.72666;131.6;1.0836
21.12.2015;1.5168;1.5169;1.0804;0.72985;131.93;1.087
22.12.2015;1.5109;1.5242;1.0818;0.7362;132.42;1.0952
23.12.2015;1.5115;1.5176;1.0812;0.733;131.92;1.0916
24.12.2015;1.5074;1.5183;1.0806;0.7342;131.83;1.0947
28.12.2015;1.5089;1.5207;1.0838;0.73535;132.05;1.0962
29.12.2015;1.5056;1.5241;1.0846;0.74005;131.88;1.0952
30.12.2015;1.499;1.5171;1.0814;0.73799;131.66;1.0926
31.12.2015;1.4897;1.5116;1.0835;0.73395;131.07;1.0887
04.01.2016;1.5153;1.5172;1.0891;0.7381;129.78;1.0898
05.01.2016;1.4982;1.4976;1.0847;0.73235;127.88;1.0746
06.01.2016;1.5187;1.5137;1.0846;0.7344;127.19;1.0742
07.01.2016;1.555;1.536;1.0875;0.74545;127.74;1.0868
08.01.2016;1.5495;1.5321;1.086;0.74519;128.51;1.0861
11.01.2016;1.5516;1.5336;1.0863;0.74705;128.33;1.0888
12.01.2016;1.546;1.537;1.0855;0.7508;127.79;1.0836
13.01.2016;1.5413;1.5381;1.0926;0.7502;127.74;1.0816
14.01.2016;1.5695;1.5647;1.095;0.75703;128.26;1.0893
15.01.2016;1.5895;1.5849;1.0951;0.7615;127.8;1.0914
18.01.2016;1.581;1.58;1.0946;0.76263;127.78;1.0892
19.01.2016;1.5673;1.575;1.0922;0.76473;128.12;1.0868
20.01.2016;1.5916;1.5965;1.0932;0.77;127.28;1.0907
21.01.2016;1.5755;1.575;1.0949;0.77182;127.43;1.0893
22.01.2016;1.538;1.5316;1.095;0.75459;127.77;1.0808
25.01.2016;1.5496;1.5351;1.0981;0.7589;128.07;1.0815
26.01.2016;1.555;1.5411;1.1008;0.76095;128.22;1.0837
27.01.2016;1.5461;1.5331;1.1068;0.75965;128.91;1.0888
28.01.2016;1.5419;1.5357;1.1053;0.76228;129.62;1.0903
29.01.2016;1.5388;1.5363;1.1144;0.7641;132.25;1.092
01.02.2016;1.5377;1.5253;1.1096;0.761;131.99;1.0884
02.02.2016;1.5475;1.5292;1.1147;0.7586;131.84;1.0919
03.02.2016;1.5484;1.5234;1.1115;0.7533;130.58;1.0933
04.02.2016;1.5546;1.5366;1.1169;0.76595;131.49;1.1206
05.02.2016;1.5583;1.5404;1.1101;0.76975;130.71;1.1202
08.02.2016;1.5726;1.5487;1.1051;0.7724;129.11;1.1101
09.02.2016;1.6083;1.5623;1.0997;0.77945;129.07;1.1236
10.02.2016;1.5848;1.5601;1.096;0.77328;129.42;1.1257
11.02.2016;1.6018;1.5842;1.1027;0.7874;127.3;1.1347
12.02.2016;1.5901;1.5698;1.0989;0.77735;127.07;1.1275
15.02.2016;1.5624;1.5454;1.1009;0.772;127.6;1.118
16.02.2016;1.5605;1.543;1.1018;0.7758;127.02;1.1166
17.02.2016;1.5629;1.5387;1.1034;0.77835;127.1;1.1136
18.02.2016;1.5496;1.5168;1.1028;0.77143;126.17;1.1084
19.02.2016;1.5605;1.5274;1.1017;0.77715;125.4;1.1096
22.02.2016;1.5322;1.5128;1.1008;0.78243;124.85;1.1026
23.02.2016;1.5202;1.5116;1.0921;0.77985;123.12;1.1002
24.02.2016;1.5319;1.5197;1.0914;0.78935;122.86;1.0981
25.02.2016;1.5292;1.5025;1.0935;0.7892;124.01;1.1027
26.02.2016;1.5275;1.4909;1.0929;0.78745;124.42;1.1006
29.02.2016;1.526;1.4767;1.0914;0.7858;123.14;1.0888
01.03.2016;1.5196;1.4699;1.086;0.778;122.94;1.0872
02.03.2016;1.501;1.4595;1.0845;0.7741;124.07;1.0856
03.03.2016;1.4852;1.4644;1.084;0.77435;124.23;1.0901
04.03.2016;1.4859;1.4717;1.0898;0.77483;124.77;1.097
07.03.2016;1.4776;1.4652;1.0962;0.77438;124.45;1.0953
08.03.2016;1.4794;1.4695;1.0952;0.77608;124.6;1.1028
09.03.2016;1.465;1.4705;1.0978;0.77135;123.63;1.0973
10.03.2016;1.4522;1.4424;1.0941;0.76728;123.87;1.0857
11.03.2016;1.4766;1.4698;1.0948;0.77595;126.17;1.109
14.03.2016;1.4755;1.4737;1.0969;0.77428;126.36;1.1119
15.03.2016;1.4877;1.4832;1.0954;0.78358;125.36;1.1109
16.03.2016;1.4911;1.4798;1.096;0.7873;125.68;1.1064
17.03.2016;1.4828;1.4701;1.0959;0.78218;126.28;1.1311
18.03.2016;1.4804;1.4627;1.0919;0.77855;125.79;1.1279
21.03.2016;1.4819;1.4703;1.0916;0.78303;125.94;1.1271
22.03.2016;1.4751;1.4679;1.0887;0.7879;125.13;1.1212
23.03.2016;1.478;1.4676;1.0894;0.78985;126.01;1.1171
24.03.2016;1.4858;1.4821;1.0875;0.78938;125.41;1.1154
29.03.2016;1.4901;1.4741;1.0915;0.7845;127.13;1.1194
30.03.2016;1.4766;1.4755;1.0913;0.7858;127.37;1.1324
31.03.2016;1.4807;1.4738;1.0931;0.79155;127.9;1.1385
01.04.2016;1.4884;1.4894;1.0946;0.7989;128.07;1.1432
04.04.2016;1.4917;1.4832;1.0919;0.79738;126.97;1.138
05.04.2016;1.5085;1.4968;1.0892;0.8016;125.81;1.1367
06.04.2016;1.5029;1.4912;1.0887;0.80808;125.13;1.1336
07.04.2016;1.5092;1.4906;1.0884;0.80728;123.15;1.1364
08.04.2016;1.5091;1.4861;1.0874;0.8073;123.36;1.1363
11.04.2016;1.506;1.4794;1.0877;0.8006;123.28;1.139
12.04.2016;1.4882;1.4674;1.0874;0.7984;123.44;1.1396
13.04.2016;1.4768;1.4466;1.0887;0.79388;123.47;1.1298
14.04.2016;1.461;1.4434;1.0878;0.7956;123.09;1.1252
15.04.2016;1.4648;1.4535;1.0919;0.79575;122.91;1.1284
18.04.2016;1.4685;1.4612;1.0916;0.7978;122.32;1.1306
19.04.2016;1.4547;1.4418;1.0922;0.78975;124.1;1.1343
20.04.2016;1.4556;1.4421;1.0939;0.791;124.2;1.1379
21.04.2016;1.4496;1.4346;1.0989;0.78693;124.5;1.1355
22.04.2016;1.457;1.4342;1.0991;0.78335;124.86;1.1263
25.04.2016;1.4587;1.4286;1.0973;0.7764;124.95;1.1264
26.04.2016;1.46;1.4276;1.1;0.77483;125.45;1.1287
27.04.2016;1.4885;1.4223;1.0998;0.77475;125.79;1.1303
28.04.2016;1.4906;1.4262;1.0974;0.77838;122.84;1.1358
29.04.2016;1.4948;1.4286;1.0984;0.78025;122.34;1.1403
02.05.2016;1.5025;1.4388;1.0999;0.78248;122.47;1.1493
03.05.2016;1.5303;1.4559;1.0977;0.79103;122.53;1.1569
04.05.2016;1.5379;1.467;1.0993;0.79284;122.62;1.1505
05.05.2016;1.5266;1.4665;1.1018;0.7886;122.51;1.1439
06.05.2016;1.5501;1.4717;1.107;0.7885;122.23;1.1427
09.05.2016;1.5544;1.4743;1.1053;0.78998;123.39;1.1395
10.05.2016;1.5486;1.4744;1.1079;0.7876;124.12;1.1375
11.05.2016;1.5474;1.4686;1.1099;0.78958;124.09;1.1409
12.05.2016;1.5541;1.4594;1.1063;0.78888;124.5;1.1389
13.05.2016;1.5579;1.4619;1.1024;0.78758;123.56;1.1348
16.05.2016;1.5526;1.4634;1.1059;0.788;123.27;1.1324
17.05.2016;1.5457;1.4631;1.108;0.7815;123.93;1.1318
18.05.2016;1.5521;1.4637;1.1086;0.77485;123.38;1.1279
19.05.2016;1.5563;1.4679;1.1089;0.76585;123.17;1.1197
20.05.2016;1.5519;1.4704;1.1123;0.77008;123.81;1.1219
23.05.2016;1.5542;1.4745;1.1105;0.77443;122.7;1.1215
24.05.2016;1.5597;1.4684;1.1079;0.76513;122.56;1.1168
25.05.2016;1.5475;1.4608;1.1049;0.75925;122.79;1.1146
26.05.2016;1.5481;1.4443;1.1075;0.7597;122.93;1.1168
27.05.2016;1.5483;1.456;1.1068;0.76245;122.46;1.1168
30.05.2016;1.5504;1.4524;1.1058;0.76125;123.85;1.1139
31.05.2016;1.5366;1.453;1.1044;0.76185;123.83;1.1154
01.06.2016;1.537;1.4586;1.1055;0.77358;122.07;1.1174
02.06.2016;1.5516;1.4662;1.1062;0.77335;121.96;1.1188
03.06.2016;1.5397;1.4594;1.105;0.77285;121.47;1.1154
06.06.2016;1.5417;1.4665;1.1051;0.7872;121.58;1.1349
07.06.2016;1.526;1.4505;1.0979;0.7788;122.16;1.1348
08.06.2016;1.5228;1.443;1.0942;0.78048;121.77;1.1378
09.06.2016;1.525;1.4459;1.0916;0.78438;120.72;1.1343
10.06.2016;1.5274;1.441;1.0885;0.7848;120.79;1.1304
13.06.2016;1.5228;1.439;1.0888;0.79515;119.51;1.1268
14.06.2016;1.5277;1.4449;1.0832;0.79478;118.98;1.1225
15.06.2016;1.5188;1.4438;1.0817;0.79158;119.29;1.123
16.06.2016;1.5212;1.453;1.0812;0.79033;116.65;1.1174
17.06.2016;1.5234;1.4519;1.0818;0.7877;117.34;1.1254
20.06.2016;1.5188;1.452;1.0884;0.77375;118.57;1.1332
21.06.2016;1.5073;1.4451;1.085;0.76755;118.39;1.1314
22.06.2016;1.5033;1.4399;1.083;0.76793;118.01;1.1283
23.06.2016;1.506;1.4517;1.0876;0.76595;120.38;1.1389
24.06.2016;1.491;1.4392;1.0808;0.8075;113.23;1.1066
27.06.2016;1.4857;1.435;1.0736;0.834;111.8;1.0998
28.06.2016;1.4984;1.4438;1.0845;0.8272;113.4;1.1073
29.06.2016;1.4911;1.4407;1.0854;0.8255;113.85;1.109
30.06.2016;1.4929;1.4384;1.0867;0.8265;114.05;1.1102
01.07.2016;1.4884;1.439;1.0835;0.8383;114.29;1.1135
04.07.2016;1.4792;1.4328;1.0839;0.83905;114.29;1.1138
05.07.2016;1.4902;1.4418;1.0837;0.84997;113.5;1.1146
06.07.2016;1.4812;1.4419;1.0821;0.853;111.48;1.1069
07.07.2016;1.4737;1.4328;1.082;0.85085;111.9;1.108
08.07.2016;1.4731;1.4406;1.0855;0.85243;111.17;1.107
11.07.2016;1.4617;1.4437;1.0867;0.85097;113.23;1.1049
12.07.2016;1.4532;1.4452;1.0904;0.84275;115.29;1.1092
13.07.2016;1.4517;1.4452;1.0909;0.83398;115.82;1.1072
14.07.2016;1.4588;1.4422;1.09;0.83311;117.88;1.1157
15.07.2016;1.4538;1.4317;1.0899;0.83275;117.63;1.1128
18.07.2016;1.4557;1.4315;1.0869;0.83372;116.82;1.1053
19.07.2016;1.4727;1.4364;1.0877;0.8395;117.2;1.1035
20.07.2016;1.4712;1.4382;1.0882;0.83605;117.33;1.1013
21.07.2016;1.471;1.4376;1.0872;0.83595;117.05;1.1015
22.07.2016;1.4717;1.4436;1.086;0.84108;116.86;1.1014
25.07.2016;1.4666;1.4465;1.0839;0.8367;116.64;1.0982
26.07.2016;1.4599;1.4553;1.087;0.8371;114.67;1.0997
27.07.2016;1.4715;1.4497;1.0928;0.83875;116.23;1.0991
28.07.2016;1.4735;1.4595;1.0892;0.8422;116.14;1.109
29.07.2016;1.4782;1.4643;1.0823;0.844;114.83;1.1113
01.08.2016;1.4751;1.4587;1.0807;0.8454;114.28;1.1164
02.08.2016;1.4717;1.4608;1.081;0.8431;113.72;1.1193
03.08.2016;1.475;1.4672;1.0845;0.8391;113.22;1.12
04.08.2016;1.4604;1.4536;1.0834;0.84603;112.66;1.1136
05.08.2016;1.4567;1.4529;1.0852;0.8481;112.73;1.1156
08.08.2016;1.452;1.4573;1.0883;0.84955;113.59;1.1087
09.08.2016;1.4463;1.4567;1.0899;0.85399;113.27;1.1078
10.08.2016;1.445;1.4557;1.0923;0.85541;113.09;1.1184
11.08.2016;1.446;1.4559;1.0859;0.86038;113.05;1.1153
12.08.2016;1.4535;1.4478;1.0888;0.8605;113.77;1.1158
15.08.2016;1.4577;1.4446;1.0893;0.86677;112.97;1.118
16.08.2016;1.4602;1.4477;1.0849;0.8706;112.74;1.1295
17.08.2016;1.478;1.4529;1.0863;0.8664;113.53;1.1276
18.08.2016;1.4766;1.4524;1.0853;0.86073;113.6;1.1321
19.08.2016;1.4877;1.4547;1.0852;0.86537;113.53;1.1326
22.08.2016;1.4856;1.4602;1.0886;0.8624;113.73;1.1306
23.08.2016;1.4823;1.4625;1.0896;0.85995;113.48;1.1339
24.08.2016;1.4782;1.4581;1.0891;0.8513;112.95;1.1268
25.08.2016;1.484;1.4597;1.0905;0.8557;113.45;1.129
26.08.2016;1.4771;1.4546;1.0933;0.8545;113.33;1.129
29.08.2016;1.479;1.4536;1.0937;0.85476;114.24;1.117
30.08.2016;1.4787;1.4562;1.0951;0.8517;114.27;1.1168
31.08.2016;1.4806;1.4583;1.0957;0.84806;115.01;1.1132
01.09.2016;1.4801;1.4634;1.0978;0.8405;115.59;1.1146
02.09.2016;1.481;1.4643;1.0959;0.8426;115.83;1.1193
05.09.2016;1.4696;1.4436;1.0925;0.83643;115.24;1.1156
06.09.2016;1.4625;1.4405;1.0923;0.83535;115.39;1.1159
07.09.2016;1.4637;1.4444;1.0891;0.83968;114.23;1.1237
08.09.2016;1.4632;1.4546;1.0917;0.8456;114.8;1.1296
09.09.2016;1.4836;1.46;1.0969;0.84558;115.85;1.1268
12.09.2016;1.493;1.4722;1.0935;0.84475;114.38;1.1226
13.09.2016;1.4938;1.4744;1.0925;0.84763;114.98;1.1247
14.09.2016;1.5022;1.4799;1.0945;0.85078;115.37;1.1218
15.09.2016;1.5037;1.4831;1.0941;0.85198;114.98;1.1254
16.09.2016;1.4949;1.4817;1.0941;0.85203;114.35;1.1226
19.09.2016;1.4792;1.4684;1.0955;0.855;113.65;1.1165
20.09.2016;1.4812;1.4792;1.0943;0.86213;113.93;1.1184
21.09.2016;1.4665;1.4653;1.0883;0.85693;112.49;1.115
22.09.2016;1.4674;1.4623;1.0867;0.85925;113.19;1.1238
23.09.2016;1.4685;1.4625;1.0887;0.86435;113.02;1.1214
26.09.2016;1.4751;1.4825;1.0905;0.8709;113.11;1.1262
27.09.2016;1.4661;1.4873;1.088;0.86413;112.52;1.122
28.09.2016;1.4637;1.4829;1.0891;0.86208;112.93;1.1225
29.09.2016;1.4642;1.4683;1.0876;0.86138;113.88;1.1221
30.09.2016;1.4657;1.469;1.0876;0.86103;113.09;1.1161
03.10.2016;1.4638;1.4702;1.0918;0.87318;113.9;1.1236
04.10.2016;1.4564;1.4697;1.0949;0.8754;114.5;1.1161
05.10.2016;1.4722;1.4816;1.0959;0.88155;115.65;1.1211
06.10.2016;1.4762;1.4769;1.0942;0.88323;116;1.1185
07.10.2016;1.4696;1.4784;1.0946;0.90353;115.44;1.114
10.10.2016;1.469;1.479;1.096;0.9007;115.39;1.116
11.10.2016;1.4679;1.4653;1.0938;0.90233;114.9;1.1079
12.10.2016;1.4553;1.4598;1.0906;0.8999;114.5;1.102
13.10.2016;1.4604;1.462;1.0904;0.9043;114.49;1.1038
14.10.2016;1.4421;1.4485;1.0889;0.8991;114.76;1.1002
17.10.2016;1.4436;1.4433;1.0872;0.90485;114.46;1.0994
18.10.2016;1.4332;1.4382;1.0886;0.89565;114.37;1.0993
19.10.2016;1.4298;1.4361;1.0854;0.89338;113.49;1.0979
20.10.2016;1.4314;1.446;1.0852;0.89568;113.76;1.098
21.10.2016;1.4268;1.4401;1.0825;0.8932;112.96;1.0886
24.10.2016;1.4282;1.4547;1.0821;0.89015;113.29;1.0891
25.10.2016;1.4229;1.4478;1.0848;0.88998;113.65;1.0872
26.10.2016;1.422;1.4602;1.0838;0.89465;113.97;1.0925
27.10.2016;1.4339;1.4605;1.0838;0.89158;114.39;1.0927
28.10.2016;1.4424;1.4623;1.0855;0.89905;115.1;1.0922
31.10.2016;1.4397;1.4665;1.082;0.9005;114.97;1.0946
01.11.2016;1.4341;1.473;1.0823;0.90173;115.57;1.1025
02.11.2016;1.4479;1.484;1.0787;0.90063;114.62;1.1095
